No.,Company,StockCode,YearEnd,Industry,Exchange,Managerial/Inside ownership,State ownership,Institutional ownership,Foreign ownership,Total share outstanding,Total sales revenue,Net sales revenue,Total assets,Selling expenses,General and administrative expenditure,Value of intangible assets,Manufacturing overhead (Indirect cost),Net operating income,Consumption of raw material,Merchandise purchase of the year,Work-in-progess goods purchase,Outside manufacturing expenses,Production cost,R&D expenditure,Product innovation,Process innovation,Net Income,Total shareholders' equity,Market value of equity,Total liabilities,Net cash from operating activities,Capital expenditure,Cash flows from investing activities,Cash and cash equivalent,Long-term debt,Current assets,Current liabilities,Growth ratio,Total inventory,Dividend payment,EPS(VND),Number of employees,"Net plant, property and equipment",Firm age
1,Nhựa Bình Minh,BMP,2020,Xây dựng và Vật liệu,HOSE,0.01,0.0,0.8229000000000001,0.81,818609380000,"4,700.44","4,685.64","3,022.75",485.05,63.74,11.25,822.73,654.25,2830.236704128,213.20,24.96,209.37,3989.212929388,0,1,1,522.59,"2,471.52","5,124.49",551.22,918.58,96.05,-557.93,195.74,23.49,"2,128.87",527.73,0.08,397.95,478.07,12103,"1,407",486.58,43
1,Nhựa Bình Minh,BMP,2021,Xây dựng và Vật liệu,HOSE,0.00773,0.0,0.8447,0.8458999999999999,818609380000,"4,564.94","4,552.76","2,838.02",281.42,87.57,9.33,566.075219799,271.811309411,3393.562807592,202.53,52.75,171.24,4307.742664712,0,1,1,214.38,"2,293.47","4,903.47",544.55,-30.69,159.33,290.82,172.94,21.85,"2,008.03",522.69,-2.88,621.53,284.88,12717,"1,395",372.66,44
1,Nhựa Bình Minh,BMP,2022,Xây dựng và Vật liệu,HOSE,0.00756,0.0,0.8718,0.85,818609380000,"5,824.83","5,808.34","3,044.79",503.33,128.94,7.20,842.92,868.083018098,"4,052.05",269.718434977,21.632577536,244.28,"5,413.19",0,1,1,694.27,"2,621.32","4,911.66",423.47,799.14,69.98,-144.8,358.57,20.00,"2,215.15",403.47,27.6,577.48,466.61,8481,"1,339",360.55,45
1,Nhựa Bình Minh,BMP,2023,Xây dựng và Vật liệu,HOSE,0.0076,0.0,0.87,0.85,818609380000,"5,199.92","5,156.98","3,255.00",676.25,106.92,5.91,936.19,"1,345.86","2,507.64",262.481364491,29.21804385,217.92,"3,923.91",0,1,1,"1,041.01","2,689.73",8538.1,565.27,"1,602.84",57.98,-174.06,821.41,19.12,"2,593.90",546.15,-10.73,364.23,965.96,2619,"1,318",279.88,46
1,Nhựa Bình Minh,BMP,2024,Xây dựng và Vật liệu,HOSE,0.0077,0.0,0.88,0.84,818609380000,"4,678.62","4,615.68","3,200.49",555.92,119.64,6.32,748.12,"1,261.40","2,185.71",146.483371668,24.267937819,212.11,"3,371.81",0,1,1,990.76,"2,701.70",10731.97,498.80,900.55,108.99,-248.32,504.17,17.79,"2,596.11",480.99,-10.03,463.58,969.23,6384,"1,299",258.88,47
2,Xi măng Bút Sơn,BTS,2020,Xây dựng và Vật liệu,HNX,0.0,79.52,94.24,0.13,123559858,3063.55,3063.55,3262,122.63,112.56,0.49,728.73,11.44,1978.57,0,72.82,255.14,2955.6,0,0,1,17.27,1397.11095977,580.7313326,1864.89,206.22,80.27,-126.64,113.5,28.33,588.02,1836.56,-5.8,376.89,0,140,1256,2490.2,23
2,Xi măng Bút Sơn,BTS,2021,Xây dựng và Vật liệu,HNX,0.0,79.52,94.74,0.15,123559858,2979.82,2979.82,3057.82,113.45,107.62,0.66,662.29,46.51,1890.96,0,38.83,214.39,2838.44,0,0,1,50.02,1438.28,1420.938367,1619.54,278.54,56.99,-39.14,116.45,23.69,576.28,1595.84,-2.73,382.33,49.42,405,1228,2327.52,24
2,Xi măng Bút Sơn,BTS,2022,Xây dựng và Vật liệu,HNX,0.0,79.52,94.67,0.11,123559858,3231.37,3125.07,3324.55,113.35,113.1,1.86,676.28,33.65,2237.2,0,200.75,253.49,3197.44,0,0,1,53.93,1421.86,815.4950628,1902.69,87.69,108.42,-127.92,138.55,43.11,979.21,1859.59,4.87,627.96,37.07,436,1214,2180.13,25
2,Xi măng Bút Sơn,BTS,2023,Xây dựng và Vật liệu,HNX,0.0,79.52,94.55,0.11,123559858,2725.16,2573.3,3498.58,71.42,100.1,4.81,553.2,-141.94,1893.86,0,266.8,174.11,2708.78,0,1,1,-96.25,1268.2,679.579219,2230.38,125.22,315.9,-265.32,134.94,167.76,935,2062.62,-17.66,655.45,0,-779,1191,2008.37,26
2,Xi măng Bút Sơn,BTS,2024,Xây dựng và Vật liệu,HNX,0.0,79.52,94.44,0.11,123559858,2749.3,2609.61,3094.24,68.46,90.78,3.75,568.34,-256.41,1776.7,0,77.76,163.48,2587.31,0,1,1,-201.79,1066.41,605.4433042,2027.83,145.73,171.49,-171.06,100.19,176.4,689.91,1851.43,1.41,477.01,0,-1633,1165,2013.18,27
